calibration_risk_norm,numerical_confidence,predicted_assurance_risk
0.5966386554621849,0.5042016806722689,0.902523380962278
0.6050420168067226,0.5042016806722689,0.9057510707430863
0.6134453781512604,0.5042016806722689,0.9088826739076628
0.6218487394957983,0.5042016806722689,0.9119203421717077
0.6302521008403361,0.5042016806722689,0.914866226485611
0.6386554621848739,0.5042016806722689,0.9177224732428555
0.6470588235294117,0.5042016806722689,0.9204912207525404
0.6554621848739496,0.5042016806722689,0.9231745959685945
0.6638655462184874,0.5042016806722689,0.9257747114676631
0.6722689075630252,0.5042016806722689,0.9282936626671809
0.680672268907563,0.5042016806722689,0.9307335252747603
0.6890756302521008,0.5042016806722689,0.9330963529597383
0.6974789915966386,0.5042016806722689,0.9353841752375196
0.7058823529411764,0.5042016806722689,0.9375989955572199
0.7142857142857143,0.5042016806722689,0.9397427895830508
0.7226890756302521,0.5042016806722689,0.9418175036598859
0.7310924369747899,0.5042016806722689,0.9438250534534945
0.7394957983193277,0.5042016806722689,0.9457673227560314
0.7478991596638656,0.5042016806722689,0.9476461624475097
0.7563025210084033,0.5042016806722689,0.9494633896041582
0.7647058823529411,0.5042016806722689,0.9512207867447766
0.7731092436974789,0.5042016806722689,0.9529201012064268
0.7815126050420168,0.5042016806722689,0.9545630446410646
0.7899159663865546,0.5042016806722689,0.956151292624976
0.7983193277310924,0.5042016806722689,0.9576864843731833
0.8067226890756303,0.5042016806722689,0.9591702225512657
0.8151260504201681,0.5042016806722689,0.9606040731773627
0.8235294117647058,0.5042016806722689,0.9619895656074223
0.8319327731092436,0.5042016806722689,0.9633281925970777
0.8403361344537815,0.5042016806722689,0.9646214104338449
0.8487394957983193,0.5042016806722689,0.9658706391336417
0.8571428571428571,0.5042016806722689,0.9670772626959429
0.8655462184873949,0.5042016806722689,0.9682426294121821
0.8739495798319328,0.5042016806722689,0.9693680522223096
0.8823529411764706,0.5042016806722689,0.9704548091147093
0.8907563025210083,0.5042016806722689,0.971504143564954
0.8991596638655461,0.5042016806722689,0.9725172650091543
0.907563025210084,0.5042016806722689,0.9734953493479264
0.9159663865546218,0.5042016806722689,0.9744395394772465
0.9243697478991596,0.5042016806722689,0.9753509458427212
0.9327731092436974,0.5042016806722689,0.9762306470140246
0.9411764705882353,0.5042016806722689,0.9770796902764866
0.9495798319327731,0.5042016806722689,0.9778990922370309
0.9579831932773109,0.5042016806722689,0.9786898394418632
0.9663865546218487,0.5042016806722689,0.9794528890035086
0.9747899159663865,0.5042016806722689,0.9801891692349817
0.9831932773109243,0.5042016806722689,0.9808995802890478
0.9915966386554621,0.5042016806722689,0.9815849948007004
1.0,0.5042016806722689,0.9822462585311352
0.0,0.5084033613445378,0.3968349247684044
0.008403361344537815,0.5084033613445378,0.4057547239703271
0.01680672268907563,0.5084033613445378,0.41473715705458436
0.025210084033613446,0.5084033613445378,0.42377663324444564
0.03361344537815126,0.5084033613445378,0.43286741146772995
0.04201680672268907,0.5084033613445378,0.4420036142466573
0.05042016806722689,0.5084033613445378,0.4511792423478523
0.058823529411764705,0.5084033613445378,0.46038819011844606
0.06722689075630252,0.5084033613445378,0.4696242614276547
0.07563025210084033,0.5084033613445378,0.4788811861273576
0.08403361344537814,0.5084033613445378,0.48815263694011796
0.09243697478991596,0.5084033613445378,0.497432246678874
0.10084033613445378,0.5084033613445378,0.5067136256992288
0.1092436974789916,0.5084033613445378,0.5159903794829548
0.11764705882352941,0.5084033613445378,0.5252561262500027
0.12605042016806722,0.5084033613445378,0.5345045144960284
0.13445378151260504,0.5084033613445378,0.5437292403531947
0.14285714285714285,0.5084033613445378,0.5529240646737709
0.15126050420168066,0.5084033613445378,0.5620828297388161
0.15966386554621848,0.5084033613445378,0.571199475497948
0.1680672268907563,0.5084033613445378,0.5802680552508053
0.1764705882352941,0.5084033613445378,0.5892827506862504
0.18487394957983191,0.5084033613445378,0.5982378862015467
0.19327731092436973,0.5084033613445378,0.6071279424305798
0.20168067226890757,0.5084033613445378,0.6159475689175956
0.21008403361344538,0.5084033613445378,0.6246915958807893
0.2184873949579832,0.5084033613445378,0.6333550450182663
0.226890756302521,0.5084033613445378,0.6419331393173574
0.23529411764705882,0.5084033613445378,0.6504213118368187
0.24369747899159663,0.5084033613445378,0.6588152134400499
0.25210084033613445,0.5084033613445378,0.6671107194659633
0.26050420168067223,0.5084033613445378,0.6753039353324602
0.2689075630252101,0.5084033613445378,0.6833912010755264
0.2773109243697479,0.5084033613445378,0.6913690948346498
0.2857142857142857,0.5084033613445378,0.6992344353025327
0.29411764705882354,0.5084033613445378,0.7069842831638483
0.3025210084033613,0.5084033613445378,0.7146159415540051
0.31092436974789917,0.5084033613445378,0.7221269555745382
0.31932773109243695,0.5084033613445378,0.729515110906747
0.3277310924369748,0.5084033613445378,0.7367784315695812
0.3361344537815126,0.5084033613445378,0.743915176871495
0.3445378151260504,0.5084033613445378,0.7509238376090543
0.3529411764705882,0.5084033613445378,0.7578031315674963
0.36134453781512604,0.5084033613445378,0.7645519983802317
0.36974789915966383,0.5084033613445378,0.7711695938054535
0.37815126050420167,0.5084033613445378,0.7776552834786117
0.38655462184873945,0.5084033613445378,0.784008636199572
0.3949579831932773,0.5084033613445378,0.7902294168128148
0.40336134453781514,0.5084033613445378,0.796317578738129
0.4117647058823529,0.5084033613445378,0.8022732562079031
0.42016806722689076,0.5084033613445378,0.8080967562654262
0.42857142857142855,0.5084033613445378,0.8137885505765746
0.4369747899159664,0.5084033613445378,0.8193492671049513
0.4453781512605042,0.5084033613445378,0.8247796816980082
0.453781512605042,0.5084033613445378,0.8300807096289575
0.4621848739495798,0.5084033613445378,0.8352533971364045
0.47058823529411764,0.5084033613445378,0.8402989130006673
0.4789915966386554,0.5084033613445378,0.8452185401927115
0.48739495798319327,0.5084033613445378,0.8500136676285568
0.49579831932773105,0.5084033613445378,0.8546857820589551
0.5042016806722689,0.5084033613445378,0.8592364601210994
0.5126050420168067,0.5084033613445378,0.8636673605761512
0.5210084033613445,0.5084033613445378,0.8679802167534738
0.5294117647058824,0.5084033613445378,0.8721768292196507
0.5378151260504201,0.5084033613445378,0.876259058687697
0.5462184873949579,0.5084033613445378,0.8802288191792937
0.5546218487394958,0.5084033613445378,0.8840880714504615
0.5630252100840336,0.5084033613445378,0.8878388166888087
0.5714285714285714,0.5084033613445378,0.8914830904883605
0.5798319327731092,0.5084033613445378,0.8950229571059947
0.5882352941176471,0.5084033613445378,0.8984605040017002
0.5966386554621849,0.5084033613445378,0.9017978366631907
0.6050420168067226,0.5084033613445378,0.9050370737139091
0.6134453781512604,0.5084033613445378,0.9081803423020727
0.6218487394957983,0.5084033613445378,0.9112297737672035
0.6302521008403361,0.5084033613445378,0.9141874995794945
0.6386554621848739,0.5084033613445378,0.9170556475464152
